Year;Value
1996;44500
1997;47000
1998;48500
1999;49950
2000;54000
2001;56500
2002;61500
2003;74000
2004;92000
2005;110000
2006;119950
2007;128500
2008;129500
2009;120000
2010;123000
2011;124645
